Cam 0167,Site3A,Cam 0167,Site 3A (shrubs in forest gap),Cam 0167,Cam 1370,Site 3B (shrub field),Cam1370 ,Cam 600,Site 3C (bare forest gap),Cam600,Cam2015,Site1C (wetland),Cam2015,Cam1684,Site1B (shrub),Cam1684,Cam1687,Site1A (forest),Cam1687
Pixels,Percent,Pixels,Percent,Date,Pixels,Percent,Date,Pixels,Percent,Date,Pixels,Percent,Date,Pixels,Percent,Date,Pixels,Percent,Date
2.13E+05,62.352,2.13E+05,62.352,7-Nov-20,46130,60.421,9-Nov-20,76205,73.432,13-Dec-20,2.42E+05,90.618,12-Dec-20,85,0.028064,7-Nov-20,75585,28.907,7-Nov-20
2.01E+05,58.825,2.01E+05,58.825,8-Nov-20,26955,35.306,10-Nov-20,69578,67.046,16-Dec-20,1.97E+05,73.8,13-Dec-20,62138,20.516,8-Nov-20,1.79E+05,68.364,7-Nov-20
94846,27.749,94846,27.749,9-Nov-20,8663,11.347,11-Nov-20,91942,88.597,17-Dec-20,2.59E+05,96.923,17-Dec-20,3.04E+05,100.26,9-Nov-20,1.67E+05,63.726,8-Nov-20
68727,20.107,68727,20.107,10-Nov-20,6037,7.9073,12-Nov-20,84347,81.278,18-Dec-20,2.35E+05,87.847,20-Dec-20,3.04E+05,100.49,10-Nov-20,2.12E+05,81.226,8-Nov-20
59976,17.547,59976,17.547,11-Nov-20,32722,42.86,13-Nov-20,81594,78.625,19-Dec-20,2.26E+05,84.68,21-Dec-20,2.95E+05,97.45,11-Nov-20,2.20E+05,83.966,9-Nov-20
69141,20.228,69141,20.228,12-Nov-20,6103,0,15-Nov-20,76063,73.295,20-Dec-20,2.23E+05,83.433,22-Dec-20,2.25E+05,74.156,12-Nov-20,2.69E+05,103.01,9-Nov-20
49697,14.54,49697,14.54,13-Nov-20,0,0,16-Nov-20,74552,71.839,21-Dec-20,2.21E+05,82.507,23-Dec-20,2.58E+05,85.269,13-Nov-20,1.99E+05,76.094,10-Nov-20
41152,12.04,41152,12.04,15-Nov-20,0,0,17-Nov-20,74198,71.498,22-Dec-20,2.17E+05,81.313,24-Dec-20,1.82E+05,60.157,14-Nov-20,2.28E+05,87.214,10-Nov-20
8672,2.5372,8672,2.5372,16-Nov-20,0,0,20-Nov-20,73955,71.264,23-Dec-20,2.16E+05,80.638,25-Dec-20,2.43E+05,80.082,15-Nov-20,2.03E+05,77.551,11-Nov-20
43625,12.763,43625,12.763,17-Nov-20,0,0,21-Nov-20,85659,82.542,24-Dec-20,2.45E+05,91.63,26-Dec-20,2.16E+05,71.299,16-Nov-20,2.44E+05,93.16,11-Nov-20
1322,0,1322,0,18-Nov-20,0,0,22-Nov-20,84443,81.37,25-Dec-20,2.60E+05,97.356,28-Dec-20,1.77E+05,58.333,17-Nov-20,1.90E+05,72.793,12-Nov-20
0,0,0,0,19-Nov-20,0,0,23-Nov-20,90603,87.306,26-Dec-20,2.52E+05,94.281,30-Dec-20,77372,25.546,18-Nov-20,2.01E+05,77.059,12-Nov-20
0,0,0,0,20-Nov-20,0,0,24-Nov-20,84888,81.799,27-Dec-20,2.60E+05,97.406,31-Dec-20,1.15E+05,37.861,19-Nov-20,1.31E+05,50.062,13-Nov-20
0,0,0,0,21-Nov-20,0,0,25-Nov-20,97898,94.336,28-Dec-20,2.54E+05,95.071,1-Jan-21,41090,13.567,20-Nov-20,1.75E+05,66.873,13-Nov-20
0,0,0,0,22-Nov-20,0,0,26-Nov-20,85739,82.619,29-Dec-20,2.54E+05,95.094,2-Jan-21,35295,11.653,21-Nov-20,1.23E+05,47.002,14-Nov-20
0,0,0,0,23-Nov-20,0,0,27-Nov-20,90231,86.948,30-Dec-20,2.55E+05,95.49,3-Jan-21,13097,4.3242,22-Nov-20,1.55E+05,59.247,14-Nov-20
0,0,0,0,24-Nov-20,0,0,28-Nov-20,83038,80.017,31-Dec-20,2.51E+05,93.87,4-Jan-21,19564,6.4595,23-Nov-20,46896,17.935,15-Nov-20
0,0,0,0,25-Nov-20,0,0,29-Nov-20,80805,77.865,1-Jan-21,2.45E+05,91.618,6-Jan-21,38770,12.801,24-Nov-20,91963,35.171,15-Nov-20
0,0,0,0,26-Nov-20,0,0,30-Nov-20,91587,88.255,2-Jan-21,2.41E+05,90.309,7-Jan-21,62157,20.522,25-Nov-20,18324,7.0079,16-Nov-20
0,0,0,0,27-Nov-20,0,0,1-Dec-20,83549,80.509,3-Jan-21,2.40E+05,89.645,8-Jan-21,48217,15.92,26-Nov-20,51567,19.722,16-Nov-20
0,0,0,0,28-Nov-20,0,0,2-Dec-20,92225,88.869,4-Jan-21,2.37E+05,88.764,9-Jan-21,39890,13.17,27-Nov-20,15519,5.9352,17-Nov-20
0,0,0,0,29-Nov-20,0,0,3-Dec-20,73308,70.641,5-Jan-21,2.37E+05,88.59,10-Jan-21,62414,20.607,28-Nov-20,24361,9.3168,17-Nov-20
0,0,0,0,30-Nov-20,0,0,4-Dec-20,76855,74.059,6-Jan-21,2.33E+05,87.153,11-Jan-21,71613,23.644,29-Nov-20,25113,9.6044,18-Nov-20
0,0,0,0,1-Dec-20,0,0,5-Dec-20,81244,78.288,7-Jan-21,2.36E+05,88.297,12-Jan-21,48668,16.069,30-Nov-20,39643,15.161,18-Nov-20
0,0,0,0,2-Dec-20,0,0,6-Dec-20,81380,78.419,8-Jan-21,2.60E+05,97.3,13-Jan-21,52172,17.226,1-Dec-20,13509,5.1665,19-Nov-20
0,0,0,0,3-Dec-20,0,0,7-Dec-20,74471,71.761,9-Jan-21,2.32E+05,86.82,14-Jan-21,71619,23.646,2-Dec-20,92121,35.231,19-Nov-20
0,0,0,0,4-Dec-20,0,0,8-Dec-20,79587,76.691,10-Jan-21,2.30E+05,86.188,15-Jan-21,68605,22.651,3-Dec-20,14766,5.6472,20-Nov-20
0,0,0,0,5-Dec-20,0,0,9-Dec-20,79511,76.618,11-Jan-21,2.28E+05,85.344,16-Jan-21,74424,24.573,4-Dec-20,22986,8.7909,20-Nov-20
0,0,0,0,6-Dec-20,0,0,10-Dec-20,82921,79.904,12-Jan-21,2.26E+05,84.449,17-Jan-21,68465,22.605,5-Dec-20,36793,14.071,21-Nov-20
0,0,0,0,7-Dec-20,0,0,11-Dec-20,75253,72.515,13-Jan-21,2.21E+05,82.584,18-Jan-21,79628,26.291,6-Dec-20,59366,22.704,21-Nov-20
0,0,0,0,8-Dec-20,78846,100,12-Dec-20,70397,67.836,14-Jan-21,2.16E+05,80.848,19-Jan-21,3528,1.1648,7-Dec-20,39212,14.996,22-Nov-20
0,0,0,0,9-Dec-20,27677,36.252,13-Dec-20,69180,66.663,15-Jan-21,2.24E+05,83.628,20-Jan-21,69194,22.846,8-Dec-20,71245,27.247,22-Nov-20
0,0,0,0,10-Dec-20,48006,62.879,18-Dec-20,66660,64.235,16-Jan-21,2.23E+05,83.581,21-Jan-21,79302,26.183,9-Dec-20,53786,20.57,23-Nov-20
1.69E+05,49.32,1.69E+05,49.32,11-Dec-20,46702,61.171,19-Dec-20,64814,62.456,17-Jan-21,2.18E+05,81.36,22-Jan-21,75779,25.02,10-Dec-20,88738,33.937,23-Nov-20
2.24E+05,65.489,2.24E+05,65.489,13-Dec-20,34181,44.771,20-Dec-20,67732,65.267,18-Jan-21,2.47E+05,92.269,23-Jan-21,64360,21.25,11-Dec-20,86307,33.008,24-Nov-20
2.54E+05,74.391,2.54E+05,74.391,14-Dec-20,26191,34.305,21-Dec-20,64203,61.867,19-Jan-21,2.63E+05,98.545,25-Jan-21,1424,0.47016,12-Dec-20,87112,33.316,24-Nov-20
1.18E+05,34.666,1.18E+05,34.666,15-Dec-20,21588,28.276,22-Dec-20,61298,59.068,20-Jan-21,2.65E+05,98.974,26-Jan-21,3.03E+05,100.14,13-Dec-20,39454,15.089,25-Nov-20
3.21E+05,93.83,3.21E+05,93.83,16-Dec-20,23406,30.657,23-Dec-20,60871,58.656,21-Jan-21,2.65E+05,98.931,27-Jan-21,2.97E+05,98.064,14-Dec-20,87555,33.485,25-Nov-20
2.94E+05,86.083,2.94E+05,86.083,17-Dec-20,15959,20.903,24-Dec-20,73455,70.782,22-Jan-21,2.68E+05,100.29,28-Jan-21,3.07E+05,101.21,15-Dec-20,39197,14.991,26-Nov-20
2.12E+05,62.162,2.12E+05,62.162,18-Dec-20,32913,43.11,25-Dec-20,68558,66.063,23-Jan-21,2.67E+05,99.705,29-Jan-21,3.02E+05,99.685,16-Dec-20,92216,35.268,26-Nov-20
1.60E+05,46.793,1.60E+05,46.793,19-Dec-20,52061,68.19,26-Dec-20,62923,60.633,24-Jan-21,2.68E+05,100.24,31-Jan-21,3.06E+05,100.96,17-Dec-20,33999,13.003,27-Nov-20
1.41E+05,41.311,1.41E+05,41.311,20-Dec-20,3532,4.6262,27-Dec-20,89321,86.071,25-Jan-21,2.68E+05,100.22,1-Feb-21,3.05E+05,100.79,18-Dec-20,94099,35.988,27-Nov-20
95645,27.983,95645,27.983,21-Dec-20,76786,100,28-Dec-20,77264,74.453,26-Jan-21,2.68E+05,100.26,2-Feb-21,3.07E+05,101.29,19-Dec-20,74711,28.573,28-Nov-20
98939,28.946,98939,28.946,22-Dec-20,40534,53.092,29-Dec-20,93149,89.76,27-Jan-21,2.67E+05,99.961,3-Feb-21,3.07E+05,101.28,20-Dec-20,94621,36.187,28-Nov-20
1.50E+05,43.982,1.50E+05,43.982,23-Dec-20,38242,50.09,30-Dec-20,104000,99.865,28-Jan-21,2.68E+05,100.25,5-Feb-21,3.07E+05,101.3,21-Dec-20,69589,26.614,29-Nov-20
1.32E+05,38.555,1.32E+05,38.555,24-Dec-20,27630,36.19,31-Dec-20,104000,100,29-Jan-21,2.67E+05,99.828,6-Feb-21,3.07E+05,101.22,22-Dec-20,92647,35.432,29-Nov-20
3.19E+05,93.41,3.19E+05,93.41,25-Dec-20,28023,36.705,1-Jan-21,96253,92.751,30-Jan-21,2.67E+05,99.906,7-Feb-21,3.05E+05,100.69,23-Dec-20,71750,27.44,30-Nov-20
2.02E+05,59.097,2.02E+05,59.097,26-Dec-20,25261,33.087,2-Jan-21,101000,97.549,31-Jan-21,2.68E+05,100.14,8-Feb-21,3.03E+05,100.11,24-Dec-20,1.04E+05,39.589,30-Nov-20
3.28E+05,95.853,3.28E+05,95.853,27-Dec-20,18053,23.646,3-Jan-21,104000,99.976,1-Feb-21,2.68E+05,100.06,9-Feb-21,2.67E+05,88.176,25-Dec-20,83744,32.028,1-Dec-20
2.71E+05,79.413,2.71E+05,79.413,28-Dec-20,6409,8.3946,4-Jan-21,98135,94.564,2-Feb-21,2.68E+05,100.22,10-Feb-21,2.87E+05,94.893,26-Dec-20,1.06E+05,40.671,1-Dec-20
2.57E+05,75.323,2.57E+05,75.323,29-Dec-20,7832,10.258,6-Jan-21,97368,93.825,3-Feb-21,2.62E+05,98.169,12-Feb-21,3.05E+05,100.73,27-Dec-20,91707,35.073,2-Dec-20
2.06E+05,60.209,2.06E+05,60.209,30-Dec-20,5439,7.1241,7-Jan-21,96595,93.08,4-Feb-21,2.68E+05,100.3,13-Feb-21,2.99E+05,98.765,28-Dec-20,1.08E+05,41.196,2-Dec-20
1.82E+05,53.333,1.82E+05,53.333,31-Dec-20,4932,6.46,8-Jan-21,95495,92.02,5-Feb-21,2.68E+05,100.26,15-Feb-21,3.06E+05,101.08,29-Dec-20,94732,36.23,3-Dec-20
2.26E+05,66.214,2.26E+05,66.214,1-Jan-21,12290,16.098,9-Jan-21,96987,93.458,6-Feb-21,2.68E+05,100.21,18-Feb-21,3.07E+05,101.32,30-Dec-20,97057,37.119,3-Dec-20
1.47E+05,43.15,1.47E+05,43.15,2-Jan-21,7350,9.6271,10-Jan-21,95635,92.155,7-Feb-21,2.68E+05,100.2,19-Feb-21,3.07E+05,101.3,31-Dec-20,78507,30.025,4-Dec-20
2.50E+05,73.188,2.50E+05,73.188,3-Jan-21,10063,13.181,11-Jan-21,98256,94.681,8-Feb-21,2.68E+05,100.07,20-Feb-21,3.07E+05,101.31,1-Jan-21,1.01E+05,38.537,4-Dec-20
90952,26.61,90952,26.61,4-Jan-21,2243,2.9379,12-Jan-21,103000,99.635,9-Feb-21,2.67E+05,99.806,21-Feb-21,3.06E+05,101.04,2-Jan-21,97051,37.117,5-Dec-20
1.01E+05,29.627,1.01E+05,29.627,5-Jan-21,1848,2.4205,13-Jan-21,103000,99.284,10-Feb-21,2.67E+05,99.988,22-Feb-21,2.88E+05,95.101,3-Jan-21,1.04E+05,39.772,5-Dec-20
1.28E+05,37.455,1.28E+05,37.455,6-Jan-21,3244,4.249,14-Jan-21,103000,98.971,11-Feb-21,2.67E+05,100.01,23-Feb-21,3.03E+05,99.943,4-Jan-21,79914,30.563,6-Dec-20
1.26E+05,36.82,1.26E+05,36.82,7-Jan-21,10710,14.028,15-Jan-21,103000,98.81,13-Feb-21,2.65E+05,99.005,24-Feb-21,3.03E+05,99.921,5-Jan-21,1.10E+05,41.913,6-Dec-20
88540,25.904,88540,25.904,8-Jan-21,7433,0,16-Jan-21,101000,97.006,14-Feb-21,2.65E+05,99.216,25-Feb-21,3.05E+05,100.54,6-Jan-21,1.05E+05,40.291,7-Dec-20
1.02E+05,29.811,1.02E+05,29.811,9-Jan-21,0,0,17-Jan-21,103000,98.946,15-Feb-21,2.64E+05,98.779,26-Feb-21,2.90E+05,95.727,7-Jan-21,1.19E+05,45.417,7-Dec-20
84624,24.758,84624,24.758,10-Jan-21,0,0,18-Jan-21,95367,91.897,16-Feb-21,2.68E+05,100.21,27-Feb-21,3.05E+05,100.72,8-Jan-21,98222,37.565,8-Dec-20
1.66E+05,48.642,1.66E+05,48.642,11-Jan-21,0,0,19-Jan-21,95332,91.863,17-Feb-21,2.67E+05,99.929,28-Feb-21,3.02E+05,99.765,9-Jan-21,1.19E+05,45.688,8-Dec-20
75134,21.982,75134,21.982,12-Jan-21,0,0,20-Jan-21,94882,91.43,18-Feb-21,2.67E+05,99.69,1-Mar-21,3.03E+05,99.93,10-Jan-21,1.04E+05,39.688,9-Dec-20
66665,19.504,66665,19.504,13-Jan-21,0,0,21-Jan-21,93701,90.292,19-Feb-21,2.67E+05,99.788,2-Mar-21,2.99E+05,98.709,11-Jan-21,1.48E+05,56.653,9-Dec-20
60389,17.668,60389,17.668,14-Jan-21,0,0,22-Jan-21,102000,98.398,20-Feb-21,2.66E+05,99.545,3-Mar-21,3.00E+05,98.959,12-Jan-21,1.44E+05,55.194,10-Dec-20
55422,16.215,55422,16.215,15-Jan-21,0,0,23-Jan-21,97494,93.947,21-Feb-21,2.64E+05,98.833,4-Mar-21,2.90E+05,95.695,13-Jan-21,1.55E+05,59.094,10-Dec-20
52151,15.258,52151,15.258,16-Jan-21,0,0,24-Jan-21,97006,93.476,22-Feb-21,2.63E+05,98.187,5-Mar-21,2.96E+05,97.733,14-Jan-21,1.08E+05,41.407,11-Dec-20
48975,14.329,48975,14.329,17-Jan-21,46494,60.898,25-Jan-21,101000,97.134,23-Feb-21,2.64E+05,98.806,6-Mar-21,2.99E+05,98.631,15-Jan-21,1.20E+05,45.924,11-Dec-20
47723,13.962,47723,13.962,18-Jan-21,41835,54.796,26-Jan-21,95448,91.975,24-Feb-21,2.60E+05,97.429,7-Mar-21,2.96E+05,97.598,16-Jan-21,95236,36.423,12-Dec-20
44871,13.128,44871,13.128,19-Jan-21,61412,80.438,27-Jan-21,95694,92.212,25-Feb-21,2.62E+05,98.113,9-Mar-21,2.91E+05,96.011,17-Jan-21,1.57E+05,59.883,12-Dec-20
41362,12.101,41362,12.101,20-Jan-21,82154,100,28-Jan-21,95925,92.435,26-Feb-21,2.64E+05,98.702,10-Mar-21,2.87E+05,94.85,18-Jan-21,1.86E+05,71.215,13-Dec-20
50024,14.635,50024,14.635,21-Jan-21,82280,100,29-Jan-21,96014,92.52,27-Feb-21,2.64E+05,98.911,13-Mar-21,2.83E+05,93.493,19-Jan-21,2.00E+05,76.348,13-Dec-20
45961,13.447,45961,13.447,22-Jan-21,61767,80.903,30-Jan-21,96471,92.961,28-Feb-21,2.65E+05,99.237,15-Mar-21,2.78E+05,91.679,20-Jan-21,2.25E+05,86.051,14-Dec-20
48561,14.207,48561,14.207,23-Jan-21,60410,79.126,31-Jan-21,95273,91.806,1-Mar-21,2.63E+05,98.44,17-Mar-21,2.81E+05,92.73,21-Jan-21,2.39E+05,91.367,14-Dec-20
3.19E+05,93.269,3.19E+05,93.269,24-Jan-21,82251,100,1-Feb-21,98585,94.998,2-Mar-21,2.62E+05,97.987,18-Mar-21,2.77E+05,91.401,22-Jan-21,2.37E+05,90.572,15-Dec-20
2.54E+05,74.208,2.54E+05,74.208,25-Jan-21,80172,100,2-Feb-21,99951,96.314,3-Mar-21,2.65E+05,99.088,19-Mar-21,2.40E+05,79.215,23-Jan-21,2.50E+05,95.445,15-Dec-20
3.32E+05,97.119,3.32E+05,97.119,26-Jan-21,76347,100,3-Feb-21,96806,93.284,4-Mar-21,2.66E+05,99.624,20-Mar-21,2.45E+05,81.027,24-Jan-21,2.12E+05,81.038,16-Dec-20
3.42E+05,99.929,3.42E+05,99.929,27-Jan-21,72924,95.517,4-Feb-21,95972,92.48,5-Mar-21,2.66E+05,99.361,23-Mar-21,2.47E+05,81.587,25-Jan-21,2.41E+05,92.054,16-Dec-20
